arc_length,rho
0.0044047,0.021079
0.0044106,0.021082
0.0044164,0.021084
0.0044223,0.021086
0.0044281,0.021089
0.004434,0.021091
0.0044399,0.021094
0.0044457,0.021096
0.0044516,0.021099
0.0044574,0.021101
0.0044633,0.021103
0.0044691,0.021106
0.004475,0.021108
0.0044809,0.021111
0.0044867,0.021114
0.0044926,0.021117
0.0044984,0.021119
0.0045043,0.021122
0.0045101,0.021125
0.004516,0.021127
0.0045219,0.02113
0.0045277,0.021133
0.0045336,0.021136
0.0045394,0.021139
0.0045453,0.021142
0.0045511,0.021144
0.004557,0.021147
0.0045629,0.02115
0.0045687,0.021153
0.0045746,0.021156
0.0045804,0.021159
0.0045863,0.021162
0.0045921,0.021165
0.004598,0.021168
0.0046039,0.021172
0.0046097,0.021175
0.0046156,0.021178
0.0046214,0.021181
0.0046273,0.021184
0.0046331,0.021188
0.004639,0.021191
0.0046449,0.021194
0.0046507,0.021197
0.0046566,0.021201
0.0046624,0.021204
0.0046683,0.021208
0.0046742,0.021211
0.00468,0.021215
0.0046859,0.021218
0.0046917,0.021221
0.0046976,0.021225
0.0047034,0.021228
0.0047093,0.021232
0.0047152,0.021236
0.004721,0.021239
0.0047269,0.021243
0.0047327,0.021247
0.0047386,0.02125
0.0047444,0.021254
0.0047503,0.021258
0.0047562,0.021261
0.004762,0.021265
0.0047679,0.021269
0.0047737,0.021273
0.0047796,0.021277
0.0047854,0.021281
0.0047913,0.021285
0.0047972,0.021289
0.004803,0.021293
0.0048089,0.021296
0.0048147,0.0213
0.0048206,0.021304
0.0048264,0.021309
0.0048323,0.021313
0.0048382,0.021317
0.004844,0.021321
0.0048499,0.021325
0.0048557,0.021329
0.0048616,0.021334
0.0048674,0.021338
0.0048733,0.021342
0.0048792,0.021346
0.004885,0.021351
0.0048909,0.021355
0.0048967,0.021359
0.0049026,0.021364
0.0049084,0.021368
0.0049143,0.021373
0.0049202,0.021377
0.004926,0.021381
0.0049319,0.021386
0.0049377,0.021391
0.0049436,0.021395
0.0049494,0.0214
0.0049553,0.021405
0.0049612,0.021409
0.004967,0.021414
