arc_length,rho
0.003286,0.020118
0.0032918,0.020116
0.0032977,0.020114
0.0033035,0.020112
0.0033094,0.020109
0.0033152,0.020107
0.0033211,0.020104
0.003327,0.020106
0.0033328,0.020119
0.0033387,0.020133
0.0033445,0.020146
0.0033504,0.02016
0.0033563,0.020173
0.0033621,0.020187
0.003368,0.0202
0.0033738,0.020214
0.0033797,0.020232
0.0033855,0.020251
0.0033914,0.02027
0.0033973,0.02029
0.0034031,0.020309
0.003409,0.020328
0.0034148,0.020347
0.0034207,0.020366
0.0034265,0.020385
0.0034324,0.020403
0.0034383,0.020421
0.0034441,0.020439
0.00345,0.020457
0.0034558,0.020474
0.0034617,0.020492
0.0034675,0.02051
0.0034734,0.020528
0.0034793,0.020543
0.0034851,0.020557
0.003491,0.020572
0.0034968,0.020586
0.0035027,0.020601
0.0035085,0.020615
0.0035144,0.02063
0.0035203,0.020644
0.0035261,0.020657
0.003532,0.020668
0.0035378,0.020679
0.0035437,0.02069
0.0035495,0.020701
0.0035554,0.020713
0.0035613,0.020724
0.0035671,0.020735
0.003573,0.020746
0.0035788,0.020754
0.0035847,0.020762
0.0035905,0.02077
0.0035964,0.020778
0.0036023,0.020786
0.0036081,0.020795
0.003614,0.020803
0.0036198,0.020811
0.0036257,0.020817
0.0036315,0.020823
0.0036374,0.020829
0.0036433,0.020834
0.0036491,0.02084
0.003655,0.020846
0.0036608,0.020852
0.0036667,0.020857
0.0036725,0.020862
0.0036784,0.020866
0.0036843,0.02087
0.0036901,0.020874
0.003696,0.020877
0.0037018,0.020881
0.0037077,0.020885
0.0037135,0.020889
0.0037194,0.020893
0.0037253,0.020895
0.0037311,0.020898
0.003737,0.0209
0.0037428,0.020902
0.0037487,0.020905
0.0037545,0.020907
0.0037604,0.02091
0.0037663,0.020912
0.0037721,0.020914
0.003778,0.020916
0.0037838,0.020917
0.0037897,0.020919
0.0037956,0.02092
0.0038014,0.020922
0.0038073,0.020923
0.0038131,0.020925
0.003819,0.020926
0.0038248,0.020928
0.0038307,0.020929
0.0038366,0.02093
0.0038424,0.020931
0.0038483,0.020932
0.0038541,0.020933
0.00386,0.020935
0.0038658,0.020936
0.0038717,0.020937
0.0038776,0.020938
0.0038834,0.020939
0.0038893,0.02094
0.0038951,0.020941
0.003901,0.020943
0.0039068,0.020944
0.0039127,0.020945
0.0039186,0.020946
0.0039244,0.020947
0.0039303,0.020949
0.0039361,0.02095
0.003942,0.020951
0.0039478,0.020953
0.0039537,0.020954
0.0039596,0.020955
0.0039654,0.020957
0.0039713,0.020958
0.0039771,0.02096
0.003983,0.020962
0.0039888,0.020963
0.0039947,0.020965
0.0040006,0.020967
0.0040064,0.020968
0.0040123,0.02097
0.0040181,0.020972
0.004024,0.020974
0.0040298,0.020976
0.0040357,0.020977
0.0040416,0.020979
0.0040474,0.020981
0.0040533,0.020983
0.0040591,0.020985
0.004065,0.020987
0.0040708,0.020988
0.0040767,0.02099
0.0040826,0.020992
0.0040884,0.020994
0.0040943,0.020996
0.0041001,0.020998
0.004106,0.021
0.0041118,0.021002
0.0041177,0.021004
0.0041236,0.021007
0.0041294,0.021009
0.0041353,0.021011
0.0041411,0.021013
0.004147,0.021015
0.0041528,0.021017
0.0041587,0.021019
0.0041646,0.021021
0.0041704,0.021023
0.0041763,0.021025
0.0041821,0.021027
0.004188,0.021029
0.0041938,0.02103
0.0041997,0.021032
0.0042056,0.021034
0.0042114,0.021036
0.0042173,0.021038
0.0042231,0.02104
0.004229,0.021042
0.0042349,0.021044
0.0042407,0.021046
0.0042466,0.021048
0.0042524,0.02105
0.0042583,0.021052
0.0042641,0.021054
0.00427,0.021056
0.0042759,0.021058
0.0042817,0.02106
0.0042876,0.021062
0.0042934,0.021064
0.0042993,0.021066
0.0043051,0.021069
0.004311,0.021071
0.0043169,0.021073
0.0043227,0.021075
0.0043286,0.021077
0.0043344,0.02108
0.0043403,0.021082
0.0043461,0.021084
0.004352,0.021086
0.0043579,0.021088
0.0043637,0.021091
0.0043696,0.021093
0.0043754,0.021095
0.0043813,0.021098
0.0043871,0.0211
0.004393,0.021103
0.0043989,0.021105
0.0044047,0.021107
0.0044106,0.02111
0.0044164,0.021112
0.0044223,0.021115
0.0044281,0.021118
0.004434,0.02112
0.0044399,0.021123
0.0044457,0.021126
0.0044516,0.021128
0.0044574,0.021131
0.0044633,0.021134
0.0044691,0.021137
0.004475,0.021139
0.0044809,0.021142
0.0044867,0.021145
0.0044926,0.021148
0.0044984,0.021151
0.0045043,0.021154
0.0045101,0.021157
0.004516,0.02116
0.0045219,0.021163
0.0045277,0.021166
0.0045336,0.021169
0.0045394,0.021172
0.0045453,0.021176
0.0045511,0.021179
0.004557,0.021182
0.0045629,0.021185
0.0045687,0.021189
0.0045746,0.021192
0.0045804,0.021195
0.0045863,0.021198
0.0045921,0.021202
0.004598,0.021205
0.0046039,0.021208
0.0046097,0.021212
0.0046156,0.021215
0.0046214,0.021218
0.0046273,0.021222
0.0046331,0.021225
0.004639,0.021228
0.0046449,0.021232
0.0046507,0.021235
0.0046566,0.021238
0.0046624,0.021242
0.0046683,0.021245
0.0046742,0.021249
0.00468,0.021252
0.0046859,0.021256
0.0046917,0.021259
0.0046976,0.021262
0.0047034,0.021266
0.0047093,0.021269
0.0047152,0.021273
