"p","U:0","U:1","U:2","T","U_0:0","U_0:1","U_0:2","alphat","epsilon","epsilon_0","k","k_0","nut","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
704.32,82.181,-1.2128,150.32,205.36,82.155,-1.2079,150.3,7.6318e-006,1.96e+008,1.9597e+008,1001,1000.9,0.00046173,0.016483,0.016482,1,0.00086103,0.0020676,-1e-005,0.0035356
705.21,83.392,-1.276,151.35,205,83.366,-1.2714,151.33,7.8053e-006,2.0293e+008,2.029e+008,1029,1028.9,0.00047101,0.016533,0.016532,1,0.00086689,0.0020618,-1e-005,0.0035356
706.08,84.761,-1.3342,152.62,204.55,84.734,-1.3304,152.6,7.9922e-006,2.1077e+008,2.1074e+008,1059.3,1059.2,0.00048058,0.01659,0.01659,1,0.00087274,0.0020559,-1e-005,0.0035356
706.94,86.362,-1.3851,154.23,203.97,86.336,-1.3827,154.21,8.1988e-006,2.1993e+008,2.1991e+008,1093,1092.9,0.0004906,0.016659,0.016659,1,0.0008786,0.0020501,-1e-005,0.0035356
707.8,87.964,-1.436,155.84,203.4,87.937,-1.435,155.82,8.4054e-006,2.291e+008,2.2907e+008,1126.6,1126.5,0.00050062,0.016729,0.016728,1,0.00088446,0.0020442,-1e-005,0.0035356
708.66,89.565,-1.4869,157.45,202.82,89.538,-1.4873,157.44,8.612e-006,2.3827e+008,2.3824e+008,1160.3,1160.2,0.00051064,0.016798,0.016797,1,0.00089031,0.0020384,-1e-005,0.0035356
709.53,91.167,-1.5379,159.07,202.24,91.14,-1.5398,159.05,8.8186e-006,2.4744e+008,2.474e+008,1193.9,1193.8,0.00052066,0.016867,0.016866,1,0.00089617,0.0020325,-1e-005,0.0035356
710.39,92.768,-1.589,160.68,201.67,92.741,-1.5922,160.66,9.0252e-006,2.566e+008,2.5657e+008,1227.6,1227.5,0.00053069,0.016936,0.016936,1,0.00090203,0.0020266,-1e-005,0.0035356
711.25,94.37,-1.64,162.29,201.09,94.343,-1.6448,162.27,9.2318e-006,2.6577e+008,2.6574e+008,1261.2,1261.1,0.00054071,0.017006,0.017005,1,0.00090789,0.0020208,-1e-005,0.0035356
712.11,95.972,-1.6912,163.9,200.51,95.944,-1.6973,163.89,9.4385e-006,2.7494e+008,2.749e+008,1294.9,1294.7,0.00055073,0.017075,0.017074,1,0.00091374,0.0020149,-1e-005,0.0035356
712.97,97.574,-1.7424,165.52,199.94,97.546,-1.75,165.5,9.6451e-006,2.8411e+008,2.8407e+008,1328.5,1328.4,0.00056075,0.017144,0.017143,1,0.0009196,0.0020091,-1e-005,0.0035356
713.83,99.175,-1.7936,167.13,199.36,99.148,-1.8026,167.11,9.8518e-006,2.9327e+008,2.9324e+008,1362.2,1362,0.00057078,0.017213,0.017212,1,0.00092546,0.0020032,-1e-005,0.0035356
714.6,101.1,-1.8037,169.25,198.59,101.07,-1.8145,169.23,1.0076e-005,3.0365e+008,3.0362e+008,1397.7,1397.5,0.00058053,0.017302,0.017301,1,0.00093132,0.0019974,-1e-005,0.0035356
715.33,103.17,-1.7938,171.61,197.71,103.14,-1.8068,171.59,1.0308e-005,3.1462e+008,3.1458e+008,1434.1,1433.9,0.00059014,0.0174,0.017399,1,0.00093717,0.0019915,-1e-005,0.0035356
716.06,105.24,-1.784,173.97,196.84,105.22,-1.7991,173.95,1.054e-005,3.2559e+008,3.2555e+008,1470.5,1470.4,0.00059976,0.017499,0.017498,1,0.00094303,0.0019856,-1e-005,0.0035356
